observer_count = 18, target_count = 3, radius = 5, iteration = 12, score = 0.147334
observer_count = 18, target_count = 6, radius = 5, iteration = 12, score = 0.27
observer_count = 18, target_count = 9, radius = 5, iteration = 12, score = 0.444
observer_count = 18, target_count = 15, radius = 5, iteration = 12, score = 0.582
observer_count = 18, target_count = 21, radius = 5, iteration = 12, score = 1.26733
observer_count = 18, target_count = 27, radius = 5, iteration = 12, score = 1.73067
observer_count = 2, target_count = 3, radius = 5, iteration = 13, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 13, score = 0.165333
observer_count = 2, target_count = 9, radius = 5, iteration = 13, score = 0.0233333
observer_count = 2, target_count = 15, radius = 5, iteration = 13, score = 0.000666666
observer_count = 2, target_count = 21, radius = 5, iteration = 13, score = 0.0126667
observer_count = 2, target_count = 27, radius = 5, iteration = 13, score = 0.189333
observer_count = 6, target_count = 3, radius = 5, iteration = 13, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 13, score = 0.0933333
observer_count = 6, target_count = 9, radius = 5, iteration = 13, score = 0.330666
observer_count = 6, target_count = 15, radius = 5, iteration = 13, score = 0.194667
observer_count = 6, target_count = 21, radius = 5, iteration = 13, score = 0.430667
observer_count = 6, target_count = 27, radius = 5, iteration = 13, score = 0.233333
observer_count = 10, target_count = 3, radius = 5, iteration = 13, score = 0.206667
observer_count = 10, target_count = 6, radius = 5, iteration = 13, score = 0.156
observer_count = 10, target_count = 9, radius = 5, iteration = 13, score = 0.469333
observer_count = 10, target_count = 15, radius = 5, iteration = 13, score = 0.801333
observer_count = 10, target_count = 21, radius = 5, iteration = 13, score = 0.782
observer_count = 10, target_count = 27, radius = 5, iteration = 13, score = 0.437333
observer_count = 14, target_count = 3, radius = 5, iteration = 13, score = 0.0113333
observer_count = 14, target_count = 6, radius = 5, iteration = 13, score = 0.368667
observer_count = 14, target_count = 9, radius = 5, iteration = 13, score = 0.128
observer_count = 14, target_count = 15, radius = 5, iteration = 13, score = 0.532666
observer_count = 14, target_count = 21, radius = 5, iteration = 13, score = 0.712667
observer_count = 14, target_count = 27, radius = 5, iteration = 13, score = 1.52467
observer_count = 18, target_count = 3, radius = 5, iteration = 13, score = 0.396667
observer_count = 18, target_count = 6, radius = 5, iteration = 13, score = 0.310666
observer_count = 18, target_count = 9, radius = 5, iteration = 13, score = 0.242667
observer_count = 18, target_count = 15, radius = 5, iteration = 13, score = 1.12467
observer_count = 18, target_count = 21, radius = 5, iteration = 13, score = 1.44733
observer_count = 18, target_count = 27, radius = 5, iteration = 13, score = 1.048
observer_count = 2, target_count = 3, radius = 5, iteration = 14, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 14, score = 0
